"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"265";"501224";"YES";"Lana A Castellucci";2013;"Canada";"BMJ";"Efficacy and safety outcomes of oral anticoagulants
and antiplatelet drugs in the secondary prevention of
venous thromboembolism: systematic review and
network meta-analysis";11;"11";9;"placebo/observation";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Efficacy of oral anticoagulants and antiplatelet drugs in the secondary prevention of venous thromboembolism";"recurent VTE";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"number of reccurent VTE";"Bayesian Hierarchical Model";"Arm";"10";"1";"0";"0";"0";"Full Network";"3";"Comparison of model fit and parsimony";"NA";"Yes";"We assessed available study and patient characteristics to ensure similarity";"Both FE and RE";"model fit";"Unclear";"informative priors for heterogeneity variances";"NA";"Yes";"No";"NA";"SUCRA; Probability of being the best";"All";"No";"No";"Incomplete Outcome Data Addressed";"None";"Non-sponsored";"0.05";"0.37";"0.4";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"266";"501225";"YES";"Helene Cawston";2013;"France";"European Spine Journal";"Efficacy of duloxetine versus alternative oral therapies: an indirect comparison of randomised clinical trials inchronic low back pain.";15;"18";6;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Efficacy of duloxetine against alternative oral therapies";"Pain intensity";"Effectiveness";"Harmful";"Continuous";"Objective";"standardized mean difference";"change pain intensity from baseline";"Bayesian Hierarchical Model";"Arm";"15";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"None";"Both FE and RE";"The random effects model provided a better fit (DIC)";"Unclear";"uniform prior distribution (Uniform [0, 2]) was applied to the between-study variance parameter in the base-case analysis. A uniform distribution (Uniform [0, 2]) for the prior between-study standard deviation and a gamma distribution (Gamma [0.01, 100]) for the prior precision were tested in sensitivity analysis.";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"No";"None";"Eli Lilly and Company";"Industry-sponsored";"0.68";"no";"0.68";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"267";"501226";"YES";"Chang";2012;"Taiwan";"Archives of Physical Medicine and Rehabilitation";"Comparative Effectiveness of Focused Shock Wave Therapy of Different Intensity Levels and Radial Shock Wave Therapy for Treating Plantar Fasciitis: a Systematic Review and Network Meta- analysis";12;"5";5;"placebo";"3 (non-pharmacological vs any)";"No";"Yes";"No - split doses";"effectiveness of focused shock wave (FSW) therapy of different intensity levels and a new alternative, radial shock wave (RSW) for managing plantar fasciitis";"success rates of treatment";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"pain reduction magnitudes";"Bayesian Hierarchical Model";"Arm";"12";"0";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NA";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"National Science Council, International Joint Grant from the Royal Society, National Science Council";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"268";"501227";"YES";"Saurav Chatterjee";2013;"USA/Italy";"BMJ";"Benefits of β blockers in patients with heart failure and
reduced ejection fraction: network meta-analysis";21;"NR";8;"placebo /standard treatment";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"relative mortality benefit of β blockers in patients with heart failure as 20-35%";"All cause death";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"number of deaths";"Bayesian Hierarchical Model";"Arm";"21";"0";"0";"0";"0";"Full Network";"2";"Comparison of model fit and parsimony";"Yes";"Yes";"Not mentioned";"Random effects";"We used a random effects rather than a fixed effects model as this is probably the most appropriate and conservative analysis to account for variance within and between studies";"Unclear";"vague prior?";"NA";"Yes";"Yes";"Funnel plot; Harbord's test; Trim and fill method";"NA";"All";"No";"No";"Not mentioned";"None";"Non-sponsored";"0";"0.56000000000000005";"0.56000000000000005";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"269";"501228";"YES";"Chen";2012;"UK";"HTA";"Effectiveness and cost-effectiveness of computer and other electronic aids for smoking cessation: a systematic review and network meta-analysis";46;"19";19;"other";"3 (non-pharmacological vs any)";"No";"No";"NA";"smoking cessation";"Point prevalence abstinence measured at longest follow-up";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"risk ratio";"point prevalence abstinence and/or prolonged
abstinence";"Bayesian Hierarchical Model";"Arm";"45";"1";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Both FE and RE";"In a few cases the pooled results from the fixed-effects model suggested a larger intervention effect than results from the random-effects model. The random-effects model remains the more appropriate method, given the aforementioned heterogeneity between studies.";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot; Egger's test";"NA";"Subset";"No";"No";"NA";"National Institute for Health Research Health Technology Assessment programme";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"270";"501229";"YES";"Chilton M";2013;"UK";"Diabetes, Obesity and Metabolism";"The effect of antiobesity drugs on waist circumference: a mixed treatment comparison";11;"NR";6;"placebo or standard care";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Efficacy of orlistat and lorcaserin in the treatment of overweight and obesity";"Loss of weight";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"change in weight circumference at 3 months";"Bayesian Hierarchical Model";"Arm";"10";"1";"0";"0";"0";"Full Network";"1";"Comparison of model fit and parsimony";"Yes";"Yes";"Included studies had similar characteristics";"Random effects";"Because a large amount of heterogeneity between studies was expected as this was present in the original meta-analysis.";"Unclear";"vague prior?";"NA";"Yes";"Yes";"Contour enhanced funnel plots; Egger's test";"NA";"All";"No";"No";"If any data were missing, the corresponding author was contacted
";"NIHR Health Technology Assessment";"Publicly-sponsored";"0.99";"0.6";"0.99";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"272";"501231";"YES";"Cipriani";2011;"Italy";"Lancet";"Comparative efficacy and acceptability of antimanic drugs in acute mania: a multiple-treatments meta-analysis";62;"NR";14;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy";"Mean change scores on the Young Mania Rating Scale (YMRS)";"Effectiveness";"Harmful";"Continuous";"Subjective";"standardized mean difference";"NR";"Bayesian Hierarchical Model";"Arm";"45";"17";"0";"0";"0";"Full Network";"33";"Loop-specific; Inconsistency model";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"No";"NA";"Probability of being the best; rankograms";"All";"No";"Yes";"imputation";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"273";"501232";"YES";"Cipriani";2009;"Italy";"Lancet";"Comparative e?   cacy and acceptability of 12 new-generation antidepressants: a multiple-treatments meta-analysis";111;"12";12;"-";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"efficacy";"the proportion of patients who responded to the allocated treatment";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"reduction of at least 50% from the baseline score on the
Hamilton depression rating scale (HDRS) or
Montgomery–Åsberg depression rating scale (MADRS),
or who scored much improved or very much improved
on the clinical global impression (CGI) at 8 weeks";"Bayesian Hierarchical Model";"Arm";"109";"2";"0";"0";"0";"Full Network";"70";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"to incorporate the assumption that different studies assessed different, yet related, treatment effects";"Unclear";"NR";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"Yes";"imputation";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"276";"501235";"YES";"Cooper";2011;"UK";"Epidemiol Rev";"Network Meta-analysis to Evaluate the Effectiveness of Interventions to Increase the Uptake of Smoke Alarms";20;"7";7;"control - usual care";"3 (non-pharmacological vs any)";"Yes";"No";"NA";"possession of a functioning alarm";"household’s possession of a functioning smoke alarm (yes/no)-number of smoke alarms";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"possession of a functioning smoke alarm";"Bayesian Hierarchical Model";"Arm";"20";"0";"0";"0";"0";"Full Network";"4";"Node-splitting";"Yes";"Yes";"NR";"Random effects";"No";"Unclear";"using the between study standard deviation parameter.";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"National Institute for Health Research (NIHR) Programme Grants for Applied Research";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"277";"501236";"YES";"Cooper";2006;"UK";"Arch Intern Med";"Mixed comparison of stroke prevention treatments in individuals with noNRheumatic atrial fibrillation.";19;"9";9;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split and lump doses";"Stroke prevention in patients with atrial fibrillation";"Ischemic strokes";"Effectiveness";"Harmful";"Rate";"Objective";"Rate Ratio";"rate of stroke and the rate of
major or fatal bleeding episodes per 1000 person-years";"Bayesian Hierarchical Model";"Arm";"13";"5";"1";"0";"0";"Full Network";"11";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"The assumptions of a mixed- treatment comparison analysis are that (1) study-specific treat- ment effects are drawn from a common population (exchange- able) and (2) heterogeneity is constant between the different comparisons.";"NR";"NR";"Yes";"Yes";"Funnel plot";"NA";"All";"No";"No";"NA";"Medical Research Council Training Fellowship in Health Services Research";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"278";"501237";"YES";"Shannon Cope";2013;"UK";"Respiratory Research";"Comparative efficacy of long-acting bronchodilators for COPD - a network meta-analyses";17;"10";10;"placebo or monotherapy";"2 (pharmacological vs placebo)";"No";"No";"NA";"Efficacy of long-acting bronchodilators in patients with chronic obstructive pulmonary disease (COPD)";"Trough forced expiratory volume at 6 months";"Effectiveness";"Beneficial";"Continuous";"semi-objective";"mean difference";"change in baseline for trough forced expiratory volume in 1 second";"Bayesian Hierarchical Model";"Study";"10";"6";"1";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"
Meta-regression or by excluding specific studies that differed in terms of the characteristics identified";"Both FE and RE";"The two models were compared by the goodness-of-fit to the data (DIC),Fixed effect model was better";"Unclear";"non-informative prior";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"None";"Novartis";"Industry-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"279";"501239";"YES";"Cope";2011;"USA";"Int J Chron Obstruct Pulmon Dis";"Comparative efficacy of indacaterol 150 mg and 300 mg versus fixed-dose combinations of formoterol 􀀋 budesonide or salmeterol 􀀋 fluticasone for the treatment of chronic obstructive pulmonary disease – a network meta-analysis";15;"7";7;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"efficacy";"trough FEV1 (reported predose values) at 12 weeks";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"trough FEV1
(reported predose values) at 12 weeks and 6 months,";"Bayesian Hierarchical Model";"Study";"10";"5";"0";"0";"0";"Full Network";"2";"Informal comparison of NMA results with previously published results";"Yes";"Yes";"NR";"Both FE and RE";"Model fit";"Unclear";"Non-informative Prior";"NR";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"No";"NA";"Novartis Pharma AG";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"280";"501240";"YES";"Cope";2012;"US";"BMC";"Efficacy of once-daily indacaterol 75 mug relative to alternative bronchodilators in COPD: A study level and a patient level network meta-analysis";22;"7";7;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"efficacy";"forced expiratory volume in 1 s (FEV1) at 24 hrs post-dose";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"FEV1 at 24 hrs post-dose (‘trough’; mean of the values
assessed at 23 h 10 min and 23 h 45 min following the previous morning dose),";"Bayesian Hierarchical Model";"Study";"18";"2";"1";"0";"0";"Full Network";"6";"Lumley model";"Yes";"Yes";"NR";"Both FE and RE";"The fixed and random effects models had similar results as indicated by the DIC. The DIC for the random effects model using an uninformed prior has a slightly higher DIC than the fixed effect model. Based on this it can be argued that the fixed effect models are appropriate, especially given that model diagnostics suggest the random effects model using an uninformative prior did not converge.";"Unclear";"Non-informative Prior";"NR";"Yes";"No";"NA";"Probability of being the best";"Subset";"Yes";"No";"NA";"Novartis Pharmaceuticals";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"283";"501243";"YES";"Daniels";2012;"UK";"BMJ";"Second generation endometrial ablation techniques for heavy menstrual bleeding: network meta-analysis";18;"7";7;"other - first generation hysteroscopic devices";"3 (non-pharmacological vs any)";"Yes";"No";"NA";"relative effectiveness of second generation techniques in the treatment of heavy menstrual bleeding";"event rates for heavy bleeding at 12 months";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"rate of
amenorrhoea (converted from a pictorial bleeding assessment
score of zero when these data existed, otherwise as reported),
rate of heavy bleeding (likewise converted from a pictorial
bleeding assessment score of >10024 when data existed,
otherwise as reported), and";"Meta regression";"Arm";"18";"0";"0";"0";"0";"Full Network";"Unclear";"Lumley model";"Yes";"Yes";"NR";"Both FE and RE";"model fit";"Unclear";"NR";"NR";"Yes";"No";"NA";"NA";"All";"Yes";"No";"NA";"National Institute for Health Research (NIHR) Health Technology Assessment project; University of Birmingham Clinical Trials Unit, which is funded by an infrastructure grant from the NIHR.";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"284";"501244";"YES";"Del Santo";2011;"Italy";"Eur J Clin Pharmacol";"Treatments for relapsing–remitting multiple sclerosis: summarising current information by network meta-analysis";10;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"comparative effectiveness for relapsing–remitting multiple sclerosis (RRMS)";"relapse-free rate at 12 months";"Effectiveness";"Beneficial";"Survival";"Semi-objective";"hazard ratio";"terms of freedom from relapse at the 12-month follow-up
assessments";"Adjusted indirect comparison (Bucher)";"Arm";"10";"0";"0";"0";"0";"Full Network";"8";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NA";"NR";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"289";"501250";"YES";"Ariel Dogliotti";2013;"Argentina";"Heart";"Current and new oral antithrombotics in non-valvular atrial fibrillation: a network meta-analysis of 79 808 patients";20;"8";8;"placebo/control";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Efficacy of different classes of antithrombotic drugs";"reduction the incidence of stroke";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"number of strokes";"Bayesian Hierarchical Model";"Arm";"16";"4";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"None";"Random effects";"No";"NR";"NR";"NA";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"None";"NA";"Non-sponsored";"0.73";"0.33";"0.82";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"290";"501251";"YES";"Dong YH";2013;"Taiwan";"Thorax";"Comparative safety of inhaled medications in patients with chronic obstructive pulmonary disease: systematic review and mixed treatment comparison 
meta-analysis of randomised controlled trials";41;"NR";6;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"No";"Risk of mortality for inhaled medications in patients with chronic obstructive pulmonary disease (COPD)";"Overall death";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"number of deaths";"Bayesian Hierarchical Model";"Arm";"27";"6";"7";"0";"1";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"Similarity in demographic characteristics across trials with meta-regression";"Both FE and RE";"Given the challenge of the homogeneity assumption in the MTC analysis, both fixed effect and random effects models were applied. To address the possible difference of demographic characteristics across trials, we performed meta-regression to adjust for variables of age, proportion of male, percentage of current smoker, study duration, FEV1, and percentage of subjects with concomitant use of LABA or ICS";"Unclear";"NR";"NA";"Yes";"Yes";"Funnel plot; Begg's test; Egger's test";"Probability of being the best";"All";"No";"No";"Not mentioned";"Taiwan Department of Health";"Publicly-sponsored";"no data available";"no data available";"no data available";NA;"long";0;1;"After removing comparisons with missing treatment effects or standard errors,\n  study '33' has a wrong number of comparisons. Please check data and\n  consider to remove study from network meta-analysis.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
